tag,label,iterations,min_us,max_us,mean_us,median_us,stddev_us,data_size_bytes
local,ML-KEM-768 Keypair,1000,29.280,13610.439,72.978,33.088,608.675,2400
local,ML-KEM-768 Encapsulate,1000,30.252,14616.365,67.581,33.802,559.084,1088
local,ML-KEM-768 Decapsulate,1000,29.559,5135.072,55.597,32.915,267.588,32
local,X25519 Keypair,1000,75.388,11085.299,183.456,85.607,798.527,32
local,X25519 Agree,1000,57.790,3424.699,93.342,64.254,280.627,32
local,ML-DSA-65 Keypair,500,86.106,18441.664,234.256,96.224,1125.742,4032
local,ML-DSA-65 Sign,500,102.514,4355.687,344.509,194.053,613.420,3309
local,ML-DSA-65 Verify,500,71.847,8953.384,117.552,79.083,465.019,1952
local,ECDSA-P256 Keypair,500,119.204,13192.649,272.925,142.594,894.634,32
local,ECDSA-P256 Sign,500,53.132,5064.760,90.047,60.683,357.904,72
local,ECDSA-P256 Verify,500,106.596,4322.827,157.949,116.273,366.299,65
local,AES-256-GCM Encrypt 64B,2000,2.826,17748.909,13.657,3.042,396.690,64
local,AES-256-GCM Decrypt 64B,2000,2.821,12910.915,18.634,3.048,373.554,64
local,AES-256-GCM Encrypt 576B,2000,3.041,88.220,5.292,3.268,4.801,576
local,AES-256-GCM Decrypt 576B,2000,2.959,23840.937,23.451,3.230,605.633,576
local,AES-256-GCM Encrypt 1400B,2000,3.341,11742.053,11.340,3.601,262.409,1400
local,AES-256-GCM Decrypt 1400B,2000,3.307,34992.851,27.957,3.594,807.760,1400
